lig_name,LF Rank Score,LF dG,LF VSscore
ALP-POS-477dc5b7-1	ALP-POS-477dc5b7-1			0.289492917			0.3238723480000000_D,-7.636,-8.451,-9.658
ALP-POS-477dc5b7-2	ALP-POS-477dc5b7-2			0.720403462			0.2587568660000000_D,-7.618,-8.279,-9.530
ALP-POS-477dc5b7-3	ALP-POS-477dc5b7-3			93.92335838			40.71113096	4.3902_D,-6.740,-8.347,-9.601
EDJ-MED-e4b030d8-2	EDJ-MED-e4b030d8-2			0.523710411			0.2313017680000000_D,-7.737,-8.358,-9.758
EDJ-MED-e4b030d8-3	EDJ-MED-e4b030d8-3			45.40327255			20.07665763	4.6973_D,-7.547,-8.406,-9.810
EDJ-MED-e4b030d8-7	EDJ-MED-e4b030d8-7			99.0			99.5						False	False	3-a_D,-7.086,-8.492,-9.834
EDJ-MED-e4b030d8-11	EDJ-MED-e4b030d8-11			0.163838979			0.16863013300000_D,-7.066,-8.157,-9.194
EDJ-MED-e4b030d8-12	EDJ-MED-e4b030d8-12			3.556050496			7.46						False_D,-7.586,-8.281,-9.640
EDJ-MED-e4b030d8-13	EDJ-MED-e4b030d8-13			0.33869742399999997			0.283626_D,-7.782,-8.363,-9.578
MAT-POS-11b63608-1	MAT-POS-11b63608-1		90.59	1.4428095769999998			0.8509_D,-7.776,-8.584,-9.676
MAT-POS-5d20d11c-1	MAT-POS-5d20d11c-1			99.0								1.182454318	False	Fa_D,-7.673,-4.924,-6.500
MAT-POS-bbbbc21a-3	MAT-POS-bbbbc21a-3		78.32	0.491900161			1.125535117	5_D,-8.249,-8.131,-9.519
MAT-POS-b3e365b9-1	MAT-POS-b3e365b9-1		52.82	0.245516382			0.14118214199_D,-7.229,-8.078,-9.411
MAT-POS-b3e365b9-2	MAT-POS-b3e365b9-2		83.315	58.794299699999996			49.8_D,-7.606,-8.206,-9.482
MAT-POS-b3e365b9-3	MAT-POS-b3e365b9-3			6.379184722000001			4.946278416_D,-6.682,-7.282,-8.355
MAT-POS-b3e365b9-4	MAT-POS-b3e365b9-4			99.0			99.5					64.72338001	Fals_D,-6.720,-7.330,-8.564
MAT-POS-bfb445d4-2	MAT-POS-bfb445d4-2			31.04303481			5.802424377	5.2363_D,-7.302,-7.505,-8.566
MAT-POS-f2460aef-1	MAT-POS-f2460aef-1		100.0	0.414393807			0.10028685300_D,-11.055,-6.150,-9.036
MAT-POS-f2460aef-2	MAT-POS-f2460aef-2		100.0	14.46743957			15.62457347	4_D,-10.904,-7.909,-9.934
MAT-POS-f2460aef-3	MAT-POS-f2460aef-3		100.0	1.04956854			0.291719378000_D,-11.112,-7.500,-9.907
MAT-POS-f2460aef-4	MAT-POS-f2460aef-4		69.315	0.5147125370000001			0.314_D,-11.245,-8.358,-10.060
MAT-POS-f2460aef-5	MAT-POS-f2460aef-5		100.0	4.835486872			5.830055224	5_D,-11.256,-7.431,-10.070
JOH-MSK-46727e7b-1	JOH-MSK-46727e7b-1			0.025859552999999997			0.0097586_D,-12.022,-8.672,-10.714
LON-WEI-4d77710c-1	LON-WEI-4d77710c-1			99.0	24.99254465	3.397230983_D,-7.380,-7.813,-9.586
LON-WEI-4d77710c-2	LON-WEI-4d77710c-2			0.099211751	49.02662468	95.88498_D,-12.156,-7.511,-9.377
LON-WEI-4d77710c-3	LON-WEI-4d77710c-3			99.0	-0.198083062	-0.251331091_D,-8.982,-6.778,-7.801
LON-WEI-4d77710c-4	LON-WEI-4d77710c-4			99.0	8.1554842	9.661341906_D,-6.528,-7.601,-9.601
LON-WEI-4d77710c-5	LON-WEI-4d77710c-5			99.0	1.6038338540000001	10.77742_D,-5.736,-6.470,-7.840
LON-WEI-4d77710c-6	LON-WEI-4d77710c-6			99.0	22.39829612	11.93823195_D,-7.895,-7.611,-9.649
LON-WEI-4d77710c-8	LON-WEI-4d77710c-8			0.147204451	67.46751785	98.61128_D,-10.305,-8.298,-9.617
LON-WEI-4d77710c-9	LON-WEI-4d77710c-9			99.0	54.68157351	7.974440575_D,-6.886,-7.278,-8.671
LON-WEI-4d77710c-10	LON-WEI-4d77710c-10			0.509154628	98.50905228	99.831_D,-8.353,-9.942,-11.087
LON-WEI-4d77710c-11	LON-WEI-4d77710c-11			0.334573608	47.71459007	97.810_D,-10.056,-7.860,-9.293
LON-WEI-4d77710c-12	LON-WEI-4d77710c-12			99.0	17.10330105	4.9009583_D,-5.645,-7.052,-8.671
LON-WEI-4d77710c-13	LON-WEI-4d77710c-13			99.0	-0.41959530899999997	6.75_D,-5.965,-7.691,-8.973
LON-WEI-4d77710c-18	LON-WEI-4d77710c-18			99.0	7.056443095	17.89776325_D,-7.371,-7.332,-9.090
LON-WEI-4d77710c-19	LON-WEI-4d77710c-19			1.156586147	96.31522751	99.395_D,-10.760,-6.126,-7.277
LON-WEI-4d77710c-20	LON-WEI-4d77710c-20			99.0	1.663471937	6.690095544_D,-5.628,-6.395,-8.463
LON-WEI-4d77710c-21	LON-WEI-4d77710c-21			99.0	-0.20447289899999999	-1.1_D,-7.372,-8.084,-9.469
LON-WEI-4d77710c-22	LON-WEI-4d77710c-22			99.0	6.097975969	6.626197815_D,-7.374,-8.032,-9.434
LON-WEI-4d77710c-24	LON-WEI-4d77710c-24			2.6892882510000002	91.76357651_D,-12.795,-9.582,-11.397
LON-WEI-4d77710c-26	LON-WEI-4d77710c-26			99.0	4.230031878	2.809371591_D,-5.349,-6.339,-7.360
LON-WEI-4d77710c-27	LON-WEI-4d77710c-27			99.0	4.785942316	2.29818958_D,-5.956,-8.055,-9.396
LON-WEI-4d77710c-28	LON-WEI-4d77710c-28			99.0	18.47710276	0.63045793799_D,-8.256,-8.762,-10.928
LON-WEI-4d77710c-29	LON-WEI-4d77710c-29			99.0	23.16932893	2.55378055900_D,-12.491,-10.102,-11.092
LON-WEI-4d77710c-30	LON-WEI-4d77710c-30			99.0	3.787007332	12.18530321_D,-11.773,-8.687,-9.970
LON-WEI-4d77710c-32	LON-WEI-4d77710c-32			1.3606163619999998	97.12033844_D,-6.094,-8.631,-9.532
LON-WEI-4d77710c-33	LON-WEI-4d77710c-33			99.0	51.15228844	5.22683703899_D,-6.156,-6.961,-8.434
LON-WEI-4d77710c-36	LON-WEI-4d77710c-36			99.0	23.71671915	5.812566519_D,-7.156,-8.147,-9.809
LON-WEI-4d77710c-37	LON-WEI-4d77710c-37			99.0	0.771033049	-1.211927578_D,-10.777,-5.380,-7.491
LON-WEI-4d77710c-39	LON-WEI-4d77710c-39			99.0	32.56868887	67.94887924	4_D,-6.730,-7.415,-8.936
LON-WEI-4d77710c-40	LON-WEI-4d77710c-40			99.0	25.69754934	0.930777431_D,-5.053,-8.456,-9.518
LON-WEI-4d77710c-41	LON-WEI-4d77710c-41			99.0	65.3461113	37.37380028_D,-10.807,-6.885,-8.649
LON-WEI-4d77710c-42	LON-WEI-4d77710c-42			99.0	26.39190483	12.20234251_D,-6.088,-6.886,-9.073
LON-WEI-4d77710c-43	LON-WEI-4d77710c-43			99.0	5.6996803279999995	9.0308_D,-6.331,-8.251,-10.188
LON-WEI-4d77710c-48	LON-WEI-4d77710c-48			99.0	1.120340765	2.498402536_D,-6.351,-8.294,-10.165
LON-WEI-4d77710c-49	LON-WEI-4d77710c-49			99.0	-2.843450397	-6.898828268_D,-6.661,-6.201,-7.969
LON-WEI-4d77710c-51	LON-WEI-4d77710c-51			99.0	38.96485519	94.52396011	2_D,-7.753,-8.047,-10.150
LON-WEI-4d77710c-55	LON-WEI-4d77710c-55			99.0	15.27369547	11.17145872_D,-7.660,-8.473,-10.182
LON-WEI-4d77710c-56	LON-WEI-4d77710c-56			99.0	-3.982960463	-0.958466411_D,-12.842,-9.232,-10.389
